CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
41001,0.9299380912238236,0.3193264371229494,0.9209815938533785,0.45782851773719807,-0.04761904761904767,-0.1442278609099259,Oregon,OR,41
41003,0.8195398927093785,0.45923497674705327,0.832007823608488,0.8369072148200005,-0.003054989816700604,-0.007453810450317455,Oregon,OR,41
41005,0.8667152068695885,0.4175242299117613,0.8491514669739554,0.8716677781594121,0.0,0.14869355813365104,Oregon,OR,41
41007,0.9275137965772823,0.29539459723555994,0.9222814521905769,0.6016414318617551,-0.05414012738853502,-0.14781133278956204,Oregon,OR,41
41009,0.9152718221755914,0.3010727848915902,0.920829649060039,0.3351151504392216,-0.2983870967741935,-0.18761592593746768,Oregon,OR,41
41011,0.8562409146348612,0.3194338084935893,0.8755999539449462,0.7432002575680622,-0.006116207951070374,0.18260055636543626,Oregon,OR,41
41013,0.9300729331904654,0.7058851004203643,0.9180638577052048,0.9041752178471695,0.0,-0.32727697337692674,Oregon,OR,41
41015,0.9116275022847475,0.5307999098991666,0.8994310200744663,0.8578551685770419,-0.030303030303030276,-0.1062203436492899,Oregon,OR,41
41017,0.9290369310065634,0.4324231282673814,0.9278680610190944,0.8480957966972683,0.0,0.2670244186530226,Oregon,OR,41
41019,0.9302373814818257,0.41366821267522597,0.930607472172555,0.6537363333567155,0.0,0.030890690482783256,Oregon,OR,41
41021,,0.0,0.0,0.0,0.0,0.0,Oregon,OR,41
41023,0.9484204202122379,0.25532227279400965,0.9562594268476622,0.5000895102757195,0.0,0.25532227279400965,Oregon,OR,41
41025,0.9091849237840347,0.2559620421658293,0.9316333660684604,0.016920812274833136,-0.5428571428571429,-0.25596204216582935,Oregon,OR,41
41027,0.9474312123731734,0.21565142813254706,0.9039876867093495,0.7203656194684005,-0.13235294117647056,0.18164918658599372,Oregon,OR,41
41029,0.8999883843386178,0.41662624371692875,0.9061971609985127,0.8385415304122367,0.0,-0.03594942823554881,Oregon,OR,41
41031,0.749803815840164,0.47965096591914036,0.7546316356397699,0.34406135964988643,-0.08791208791208793,0.13503274084857297,Oregon,OR,41
41033,0.9163252870472524,0.44416606104217704,0.922250144448028,0.8675795283011762,-0.05882352941176472,0.15346161969114913,Oregon,OR,41
41035,0.8499666688934926,0.4961386665870362,0.8532278503135463,0.8617648523824122,-0.053830227743271175,-0.08712669641435156,Oregon,OR,41
41037,0.9055772379882663,0.38328930905046577,0.8907630522088353,0.5271458757954584,0.0,0.38328930905046577,Oregon,OR,41
41039,0.8588655887738309,0.48301113633845766,0.8358653675388281,0.9005957478574124,0.0,0.21618389645072256,Oregon,OR,41
41041,0.8316394526610158,0.6276321609953581,0.851720446298239,0.9060153698926855,0.0,0.19095999107534034,Oregon,OR,41
41043,0.8735588688125248,0.409043419229055,0.889811547224592,0.6949260868434961,-0.01754385964912286,0.020682646264932103,Oregon,OR,41
41045,0.930778239306199,0.7061490250807321,0.8112690902745748,0.2736434770643097,0.0,0.6904462319424733,Oregon,OR,41
41047,0.8056443638213959,0.4522221654610357,0.7710292242732479,0.8604467165876832,-0.0014306151645206988,0.27750794788362043,Oregon,OR,41
41049,0.8834953736176157,0.19561741190405688,0.9081348090074992,0.2523776910601575,-0.4666666666666667,-0.1956174119040569,Oregon,OR,41
41051,0.8354346879937001,0.3907601289472863,0.7275454578648619,0.7518722388539115,-0.0015913430935710071,0.03750933960884595,Oregon,OR,41
41053,0.8683384415959893,0.5864541335882623,0.8342005234658968,0.8520352035264139,-0.1005830903790087,0.09526444996574224,Oregon,OR,41
41055,0.9177831912302069,0.0,0.9159561510353228,0.0,0.0,0.0,Oregon,OR,41
41057,0.9445990992342819,0.5087522346958038,0.932418296821862,0.5564253644156572,0.0,0.3561999622461327,Oregon,OR,41
41059,0.8664175412015044,0.49014707396517876,0.8656005340384206,0.684456001874446,-0.010810810810810811,-0.004071398452936137,Oregon,OR,41
41061,0.8813955421733538,0.36122797642791016,0.9108544383060665,0.5351242491590787,-0.07070707070707072,0.31915792580996705,Oregon,OR,41
41063,0.9461934133344458,0.1539917757384284,0.9410493169257638,0.2710256609998052,-0.41666666666666663,-0.1102251642344918,Oregon,OR,41
41065,0.8859284227516608,0.42303291502019197,0.8862436288503928,0.7130691416076518,0.0,0.24114377523991504,Oregon,OR,41
41067,0.7702108436515933,0.38971151883911376,0.7163728783534533,0.7842516739806731,-0.0013448768597125182,0.26452836513297484,Oregon,OR,41
41069,,0.0,0.0,0.0,0.0,0.0,Oregon,OR,41
41071,0.8712851097609233,0.6036547492115998,0.82033667793027,0.7247495697647631,-0.011389521640091105,-0.3964059513837248,Oregon,OR,41
