CountyFIPS,Spatial_Proximity ,Dissimilarity,Isolation ,Delta,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation,State_FIPS
54001,0.9490348008618891,0.6922500767051094,0.9116594900164393,0.8660864256770233,-0.047945205479452024,0.10494376247800918,West Virginia,WV,54
54003,0.9404448860720177,0.19733200094724362,0.8441053288128784,0.48786549750564984,-0.052881955968580585,0.18275495471019365,West Virginia,WV,54
54005,0.9873496543546192,0.6175653640943847,0.9617280898921367,0.777972293943373,0.0,0.08904043353490465,West Virginia,WV,54
54007,0.9766588423658124,0.2022291224638983,0.9749874664383213,0.22403462796491325,-0.160377358490566,0.02459605470148296,West Virginia,WV,54
54009,0.9789281445658347,0.40676858162321355,0.9415247593252726,0.3880360211324326,-0.08418367346938771,-0.0007326219109287102,West Virginia,WV,54
54011,0.9356402615992063,0.5482457267279675,0.7750842648457722,0.8456132842366078,-0.0065402223675604665,-0.3007514076860822,West Virginia,WV,54
54013,0.9896923442191551,0.5770455489408832,0.9880336351875808,0.5740899680311757,-1.0,-0.5770455489408833,West Virginia,WV,54
54015,0.9928131787624045,0.6394086394086393,0.989540412044374,0.6587929333744211,0.0,0.6394086394086393,West Virginia,WV,54
54017,0.9863637651016323,0.31550465643090864,0.9586343365479453,0.43730286736800184,-0.781021897810219,-0.3155046564309086,West Virginia,WV,54
54019,0.9834628077985607,0.4229471366375186,0.8884554552876869,0.6793062449963545,0.0,-0.06115130902167465,West Virginia,WV,54
54021,0.9377190810718892,0.04214923781440194,0.8324428020000272,0.20281573833560318,-0.2815734989648033,0.04214923781440194,West Virginia,WV,54
54023,0.9779484470928808,0.1649226705755727,0.9683687424929882,0.45864765069010743,-0.11602209944751385,0.1656565716029359,West Virginia,WV,54
54025,0.9642121318186753,0.4099807287313446,0.9026657863779612,0.517032762306153,0.0,-0.17940708608441636,West Virginia,WV,54
54027,0.982647456591866,0.5825915255938658,0.9450119779791502,0.6678074646159226,0.0,0.5941939091083817,West Virginia,WV,54
54029,0.9599236416433646,0.5798344839868199,0.9222501324182653,0.5761314201240196,0.0,0.1529410896584551,West Virginia,WV,54
54031,0.9472252687191277,0.4788242738548106,0.8711408289457568,0.44857521369205766,-0.7721354166666666,-0.4135026805291383,West Virginia,WV,54
54033,0.952472523473095,0.3770506989307614,0.9322131471119693,0.6737165162149442,-0.09167446211412533,0.1081858702552303,West Virginia,WV,54
54035,0.9793796454413363,0.6296112548283072,0.9606280695090421,0.5152587552726535,0.0,0.3738157419475656,West Virginia,WV,54
54037,0.9220270260999625,0.3092639791346363,0.836930212980897,0.44097417162760655,-0.10445205479452058,0.04142454760336278,West Virginia,WV,54
54039,0.9414194948632088,0.5283211776134451,0.7306762606259741,0.8279212845775771,-0.00022806750798232134,0.28999607112391246,West Virginia,WV,54
54041,0.9833284505960552,0.8082444105691058,0.9833876221498371,0.9866730619307466,0.0,0.00959095528455256,West Virginia,WV,54
54043,0.9828574901168107,0.7260307392046841,0.9819867086393844,0.7851154671697307,0.0,0.7260307392046839,West Virginia,WV,54
54045,0.9765259078910485,0.5424421387814418,0.9366912394880171,0.5518521395965996,-0.15410958904109584,-0.11574343384694341,West Virginia,WV,54
54047,0.9700971337053276,0.6386209041727291,0.7387793574462734,0.6617416342074083,0.0,0.6823063937735934,West Virginia,WV,54
54049,0.9546870128219365,0.49143071475263805,0.8537506309106387,0.7213412710898257,0.0,0.1731850316719683,West Virginia,WV,54
54051,0.9709779678325033,0.6453082211734544,0.9534934436685807,0.5959112496706824,-0.5851851851851853,-0.6600746033133289,West Virginia,WV,54
54053,0.9884119126291152,0.5910391252929196,0.9570838513532032,0.5912568397799209,-0.3303571428571429,-0.6467410645846563,West Virginia,WV,54
54055,0.9655869152727676,0.5617851158666822,0.7757672098704635,0.7616053198101134,-0.11360083376758734,-0.4591629773193211,West Virginia,WV,54
54057,0.9762763896000249,0.6105894037927292,0.8593364125484193,0.6292077429483789,-0.2735135135135135,-0.5871583089577026,West Virginia,WV,54
54059,0.9217362796396747,0.7219882845097068,0.8137236573544626,0.8313579934759314,0.0,-0.11584958197028028,West Virginia,WV,54
54061,0.9086834222867985,0.2879733958660085,0.8691370065345576,0.6499109543646309,0.0,0.1166441011201158,West Virginia,WV,54
54063,0.9873810944180009,0.24436815844016274,0.9662468274006323,0.02719834764294146,-0.42400000000000004,-0.29909818070161975,West Virginia,WV,54
54065,0.9785800161447342,0.7028212211608742,0.9143010549725595,0.5279190579835489,-0.8497409326424871,-0.7100010966786566,West Virginia,WV,54
54067,0.9909717567809438,0.5643902628113682,0.9362804176324316,0.6486161872543549,-0.07009345794392519,0.45330173164509535,West Virginia,WV,54
54069,0.9667997502252584,0.4713838530310042,0.8295112710815655,0.7884039183197074,-0.02498476538695915,-0.061913333590368325,West Virginia,WV,54
54071,0.9889923763422037,0.3845189430857272,0.938021037315662,0.5203107215346969,-0.05150214592274682,0.390742086970024,West Virginia,WV,54
54073,0.9573902255075892,0.23198073003520472,0.9687309195817209,0.08150888037935836,-0.6666666666666667,-0.23198073003520475,West Virginia,WV,54
54075,0.9923674736912763,0.32941580889745037,0.981793204053558,0.3441019584009418,0.0,0.13074737804759362,West Virginia,WV,54
54077,0.9935594719438703,0.7482302534580523,0.7144755589890969,0.7365375244035007,-0.012813046010483387,0.742370533581246,West Virginia,WV,54
54079,0.9744241589143982,0.4560057959862598,0.9385952100435715,0.7045429398044236,0.0,0.23441149819320195,West Virginia,WV,54
54081,0.945299815585613,0.48324051630050135,0.7791456339353243,0.6290208708260397,0.0,0.26604735006603786,West Virginia,WV,54
54083,0.9681746110903958,0.34104310291968865,0.943751591362063,0.6049197585004872,-0.2080645161290322,0.011611133156634867,West Virginia,WV,54
54085,0.9915378162605796,0.6146788990825688,0.969315499606609,0.7228123902285856,0.0,0.6146788990825689,West Virginia,WV,54
54087,0.9734820508781564,0.5896103054887577,0.9675709774531605,0.4892556222857245,-0.11111111111111116,0.5314354651963047,West Virginia,WV,54
54089,0.9866544486675083,0.2827506872568505,0.9103771182930639,0.32206748354260806,-0.2952218430034129,0.14145113510390184,West Virginia,WV,54
54091,0.9775670789983675,0.04506058321403059,0.9627357314903497,0.10453729578696101,-0.24770642201834858,0.05547338489471709,West Virginia,WV,54
54093,0.9745221293325554,0.4278302958991296,0.9686446310169662,0.6530637631656997,-0.18181818181818177,0.38394683710171273,West Virginia,WV,54
54095,0.9680663894140361,0.6097419204836085,0.9736078886310905,0.6098941293437834,0.0,-0.18635201116019529,West Virginia,WV,54
54097,0.9781879228446598,0.5377126490038331,0.926085045336357,0.8704293781887342,-0.062000000000000055,-0.2982812012973337,West Virginia,WV,54
54099,0.9665140860970551,0.6479458890303067,0.9246487387959277,0.8970570675630236,0.0,0.48051857078690574,West Virginia,WV,54
54101,0.993167219623187,0.7453304597701149,0.9906846762925011,0.7231681057924175,-1.0,-0.7453304597701149,West Virginia,WV,54
54103,0.987383294183109,0.7046773419433658,0.9579942513933299,0.44167781032789344,0.0,-0.33989266547406083,West Virginia,WV,54
54105,0.9994495883019263,0.34795610498491447,0.9927251722529605,0.4101355249471505,-0.8076923076923077,-0.34795610498491447,West Virginia,WV,54
54107,0.9691587724954873,0.546771158502786,0.9026868804185441,0.819635742563334,-0.009933774834437137,0.07998064380715242,West Virginia,WV,54
54109,0.9963209156773447,0.3515665879085974,0.9612294925789936,0.40658728825267154,-0.10305343511450382,0.3600104797855108,West Virginia,WV,54
