county_FIPS,Dissimilarity,Spatial_Proximity ,Isolation ,Delta,tract_count,year
01001,0.37568559,1.01609143,0.35504267,0.45022245,12,2013
01003,0.44702171,1.08285611,0.23099526,0.636784,31,2013
01005,0.27644331,1.05237589,0.54008857,0.2838993,9,2013
01007,0.39924103,1.18394714,0.32535028,0.36604942,4,2013
01009,0.52553197,1.01581133,0.03285475,0.49551811,9,2013
01011,0.15788048,1.00453044,0.7320368,0.30499571,3,2013
01013,0.32112165,1.13474503,0.52792563,0.45831163,9,2013
01015,0.49707627,1.35757157,0.4393423,0.69247021,29,2013
01017,0.28420099,1.06063234,0.46558904,0.44234822,9,2013
01019,0.27752741,1.00985726,0.06935029,0.38901306,6,2013
01021,0.31627802,1.05380265,0.16526326,0.40232671,9,2013
01023,0.38314912,1.08635502,0.54323345,0.16848282,4,2013
01025,0.20249459,1.00321627,0.48756866,0.29872802,9,2013
01027,0.26012447,1.00872395,0.20036455,0.40459868,4,2013
01029,0.60473226,1.09837876,0.10288612,0.66552789,4,2013
01031,0.36420548,1.04658252,0.27511217,0.66362955,14,2013
01033,0.31565262,1.02199479,0.23286582,0.67124813,14,2013
01035,0.15202824,1.02664714,0.48305556,0.22275991,5,2013
01037,0.41801497,1.26895229,0.44549611,0.51173406,3,2013
01039,0.43031905,1.25394882,0.28428944,0.67716787,14,2013
01041,0.23665882,1.03344999,0.28785605,0.1640993,6,2013
01043,0.49163061,1.00077711,0.03150385,0.62864973,18,2013
01045,0.26989644,1.07231773,0.28172047,0.57461303,14,2013
01047,0.536381,1.1677545,0.78479544,0.62602849,15,2013
01049,0.57864058,1.01514765,0.06333615,0.57104566,14,2013
01051,0.25998146,1.00777717,0.26160278,0.43281407,15,2013
01053,0.35374872,1.18061397,0.47696612,0.46641547,9,2013
01055,0.68459204,1.49983304,0.51262663,0.81760941,30,2013
01057,0.4484482,1.04228031,0.19878626,0.57815286,5,2013
01059,0.52807328,1.1374555,0.11988243,0.77189186,9,2013
01061,0.11909205,1.00376414,0.10824792,0.16596646,6,2013
01063,0.11763576,0.99640819,0.82188111,0.15304763,3,2013
01065,0.37095364,1.07433027,0.66145153,0.34089354,6,2013
01067,0.28207276,1.12672729,0.35081939,0.45328449,6,2013
01069,0.49195747,1.17336493,0.48022268,0.68162554,22,2013
01071,0.51699676,1.0049085,0.08250455,0.57742515,11,2013
01073,0.65566805,1.41483688,0.72583155,0.7023614,163,2013
01075,0.12178519,1.00381242,0.12434862,0.12511324,3,2013
01077,0.49072415,1.16873143,0.28819474,0.8136033,22,2013
01079,0.62967303,1.04652189,0.36080577,0.5505691,9,2013
01081,0.33744261,1.10895999,0.35960549,0.52395491,27,2013
01083,0.38992023,1.03406745,0.21325558,0.48730485,16,2013
01085,0.1562185,1.04028437,0.75248611,0.05716014,4,2013
01087,0.50273566,1.09702951,0.86457162,0.49302193,12,2013
01089,0.51196359,1.34241565,0.49999011,0.64613815,73,2013
01091,0.22932743,1.07821495,0.56683286,0.29955916,6,2013
01093,0.46891579,1.00854812,0.09722187,0.54936167,8,2013
01095,0.55920854,1.00841985,0.04836314,0.686398,18,2013
01097,0.58916967,1.31937503,0.6384048,0.74314773,114,2013
01099,0.37783824,1.02538192,0.53044183,0.35910307,7,2013
01101,0.52168779,1.14893748,0.71931062,0.75499397,65,2013
01103,0.57632546,1.24480346,0.35827082,0.83059222,27,2013
01105,0.2302027,1.04952142,0.70863097,0.26986088,3,2013
01107,0.43417345,1.17452082,0.53139603,0.15225054,5,2013
01109,0.25297345,1.06608919,0.43987488,0.55019484,8,2013
01111,0.33435405,1.09880585,0.29073596,0.494547,6,2013
01113,0.4646167,1.11237988,0.5948748,0.66413628,13,2013
01115,0.34803607,1.03962167,0.1584756,0.46825419,13,2013
01117,0.27134373,1.02097328,0.17324382,0.52300285,48,2013
01119,0.24941454,1.04938052,0.7666463,0.1566317,4,2013
01121,0.36291329,1.12434739,0.44810589,0.42781378,22,2013
01123,0.33004634,1.12869865,0.37228898,0.35817711,10,2013
01125,0.54475215,1.23092921,0.56545794,0.81271233,47,2013
01127,0.42599167,1.0352597,0.13181217,0.57209395,18,2013
01129,0.14608333,1.02127924,0.29564375,0.16724562,5,2013
01131,0.17534554,1.01074972,0.7404763,0.28685022,4,2013
01133,0.48758564,1.00442195,0.01627068,0.39645659,7,2013
02013,0.0,1.0,0.34723481,0.0,1,2013
02016,0.01471683,1.00004313,0.16562707,0.65838015,2,2013
02020,0.38887433,1.03293908,0.14699899,0.85860628,55,2013
02050,0.13410305,1.00130575,0.0509557,0.902168,3,2013
02060,0.0,1.0,0.00191571,0.0,1,2013
02068,0.0,1.0,0.0070922,0.0,1,2013
02070,0.14360119,1.00061064,0.02220374,0.65897155,2,2013
02090,0.5552855,1.0448074,0.14982566,0.75081353,19,2013
02100,0.0,1.0,0.00483793,0.0,1,2013
02105,0.02017291,1.00864553,0.00874636,0.00017331,2,2013
02110,0.38023755,1.00066254,0.02646853,0.81230684,6,2013
02122,0.45331087,1.00695455,0.0176708,0.72825259,13,2013
02130,0.33637569,1.00164417,0.00607641,0.83650118,4,2013
02150,0.50065274,1.00528549,0.02561803,0.61895096,5,2013
02164,0.0,1.0,0.02017291,0.0,1,2013
02170,0.29868754,1.00187984,0.01664444,0.92617387,24,2013
02180,0.12628777,1.00109218,0.05759762,0.93328849,2,2013
02185,0.69008384,1.08292407,0.04323334,0.94742817,3,2013
02188,0.22814036,1.00439473,0.06039051,0.93232059,2,2013
02195,0.0,1.0,0.02148228,0.0,1,2013
02198,0.51008136,1.00455257,0.03229613,0.95086593,4,2013
02220,0.00327508,1.00000039,0.01212786,0.56545043,2,2013
02230,0.0,,0.0,0.0,1,2013
02240,0.24815076,1.00202303,0.02534247,0.72765239,2,2013
02261,0.26176014,1.00011634,0.00753283,0.36119868,3,2013
02275,0.0,1.0,0.00186683,0.0,1,2013
02282,0.0,1.0,0.15354331,0.0,1,2013
02290,0.33465504,1.00502913,0.00960358,0.50921993,4,2013
04001,0.67291469,1.01643591,0.09545756,0.55360118,16,2013
04003,0.4864169,1.01613138,0.09650952,0.64745836,32,2013
04005,0.41000785,1.00861845,0.04927355,0.91590139,28,2013
04007,0.69756476,1.00293176,0.0827069,0.71249279,16,2013
04009,0.54831674,1.01118781,0.07525801,0.60701647,9,2013
04011,0.34782855,1.00811348,0.01658706,0.66591446,3,2013
04012,0.41795605,1.0256887,0.02349824,0.64780589,8,2013
04013,0.40789681,1.02666894,0.12848791,0.85639714,911,2013
04015,0.55442339,1.00559756,0.04689377,0.64275839,43,2013
04017,0.67751385,1.00583226,0.05538657,0.70537171,31,2013
04019,0.41239228,1.01443227,0.08846492,0.88730998,241,2013
04021,0.38594882,1.0383937,0.11362246,0.86302976,75,2013
04023,0.42841687,1.00198465,0.01355917,0.60391399,10,2013
04025,0.38837919,1.00308854,0.01354166,0.82460466,42,2013
04027,0.50368975,1.0126594,0.0686493,0.8896491,53,2013
05001,0.42845179,1.07161326,0.42254777,0.80207376,8,2013
05003,0.23596758,1.01726167,0.30287471,0.56892906,7,2013
05005,0.50656194,1.00059678,0.01030801,0.4550966,9,2013
05007,0.49201818,1.00899891,0.03961961,0.71877349,49,2013
05009,0.5452307,1.00265787,0.01116901,0.69150941,7,2013
05011,0.24443232,1.02733299,0.35074726,0.55649964,5,2013
05013,0.25644236,0.95389558,0.29193012,0.26825142,2,2013
05015,0.27716471,0.99973768,0.002535,0.53792745,5,2013
05017,0.46448778,1.06627904,0.68584121,0.71151982,4,2013
05019,0.27804782,1.05971763,0.29424086,0.53675354,5,2013
05021,0.40996228,1.00133808,0.00445813,0.93895643,6,2013
05023,0.64441968,0.99161888,0.02752539,0.76592484,7,2013
05025,0.2208893,0.99174039,0.15295836,0.32993315,2,2013
05027,0.32131962,1.03677731,0.47367348,0.54121652,5,2013
05029,0.44231774,1.02349802,0.21320321,0.6640613,6,2013
05031,0.40365264,1.09151822,0.25797345,0.76712239,17,2013
05033,0.44095736,1.00272224,0.03093975,0.77172889,11,2013
05035,0.55669556,1.17482359,0.69343861,0.66654737,20,2013
05037,0.63841006,1.01902794,0.46974154,0.65381306,6,2013
05039,0.22563206,1.03698748,0.47190113,0.67330482,3,2013
05041,0.31562597,1.11899905,0.57949474,0.5659497,5,2013
