State_FIPS,Delta,Spatial_Proximity ,Dissimilarity,Isolation ,Absolute_Centralization,Relative_Centralization,State_Name,State_Abbreviation
01,0.5036238333847698,1.100568714483454,0.36452442201834234,0.3992748332518988,-0.1140202078652166,-0.017326367951127963,Alabama,AL
02,0.7655404280644456,1.0348262101960957,0.3504548113306543,0.07258928525038945,-0.010792313766780692,0.2647885423010834,Alaska,AK
04,0.697179182236851,1.047446711279381,0.15022311332255434,0.07843187008395787,-0.0017898637191483546,0.15941201143993133,Arizona,AZ
05,0.5399312057960687,1.1878479177327523,0.55095772855993,0.36336472037681233,-0.00020281940785460417,0.2676650005098864,Arkansas,AR
06,0.659486236374804,1.0030876230492982,0.3285794713676071,0.1806653878201898,-0.0003501932761966753,0.1811623190666154,California,CA
08,0.8293320313457481,1.0327775865895628,0.45939219938564213,0.10750108361229053,-0.00020301570603320496,0.2510135298931928,Colorado,CO
09,0.5050795479341637,1.0527020307977832,0.2123108833778638,0.15046180706121987,-0.005923534110062856,0.11632033319814372,Connecticut,CT
10,0.4424575168141246,1.0082966294437674,0.1459497271850915,0.27241767773557873,-0.13052549287860649,0.15336662140717117,Delaware,DE
11,0.0,1.0,0.0,0.5596657779166326,0.0,0.0,District of Columbia,DC
12,0.566962703954308,1.0402086408758984,0.3343242410941618,0.3074585327098145,-0.021398725801710206,0.1640632067816199,Florida,FL
13,0.6467219409716842,1.6491963673731174,0.3607421334467342,0.4813314974587106,-0.0030719514496475586,0.1425323293346139,Georgia,GA
15,0.804079794198653,1.0226192255991298,0.3135443176049283,0.097768845525081,-0.05022066034651851,0.3117419209262877,Hawaii,HI
16,0.7032608006847899,1.002003828612502,0.32229705721541974,0.012293871710337821,-0.0030729118167427405,0.2901306123426579,Idaho,ID
17,0.7786052822515509,0.8849142282165186,0.4210462470522422,0.2870269649735572,-0.001207645414371572,0.3846387685579771,Illinois,IL
18,0.7387083226674888,1.0344015041795465,0.5015844446870488,0.2314836579484338,-0.0006176854653858754,0.1466510465306392,Indiana,IN
19,0.7216773812088998,1.033750455574755,0.38287055144596693,0.06397151371782366,-6.513385006190475e-05,0.07099948135601153,Iowa,IA
20,0.8275068017300041,2.2229329947401206,0.3746821229857778,0.14495845791386638,-0.00015881451075971942,0.10062043189314807,Kansas,KS
21,0.6952973675501417,1.0250474806716974,0.460682442780332,0.16773295711683056,-0.004436087428128177,0.37142179559274524,Kentucky,KY
22,0.5175101722287871,1.0808131286224316,0.27800983862694084,0.42158118728723765,-0.08095400843033584,0.006940815077474127,Louisiana,LA
23,0.6330575423582013,1.0024214299852987,0.31733798416109055,0.020485065067102928,-0.036668628605061815,0.32907688367220445,Maine,ME
24,0.6178371175706341,1.4640411591297777,0.4628502131235155,0.5431083181210538,-0.00012958683397767956,-0.01357946395441978,Maryland,MD
